n,labels
"(:Info:Invalid {roster2018: 23,kommun: Arjeplog,roster2022: 26,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 2,kommun: Arjeplog,roster2022: 2,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 1865,kommun: Arjeplog,roster2022: 1746,parti: Valdeltagande})","[Info, Turnout]"
"(:EligibleToVote:Info {roster2018: 2219,kommun: Arjeplog,roster2022: 2126,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Moderaterna:Partiresultat {roster2018: 388,kommun: Arvidsjaur,roster2022: 431,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Centerpartiet:Partiresultat {roster2018: 390,kommun: Arvidsjaur,roster2022: 226,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Liberalerna:Partiresultat {roster2018: 150,kommun: Arvidsjaur,roster2022: 130,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Kristdemokraterna:Partiresultat {roster2018: 163,kommun: Arvidsjaur,roster2022: 203,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 1864,kommun: Arvidsjaur,roster2022: 1681,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 441,kommun: Arvidsjaur,roster2022: 285,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Miljöpartiet:Partiresultat {roster2018: 39,kommun: Arvidsjaur,roster2022: 51,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 686,kommun: Arvidsjaur,roster2022: 960,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Others:Partiresultat {roster2018: 54,kommun: Arvidsjaur,roster2022: 35,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 4175,kommun: Arvidsjaur,roster2022: 4002,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 3,kommun: Arvidsjaur,roster2022: 1,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 62,kommun: Arvidsjaur,roster2022: 50,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
